BRM_BILLER_ACCOUNT_T_ACCOUNT_NO,BRM_BILLINFO_T_ACTG_CYCLE_DOM,TOTAL_AMOUNT,THRESHOLD,WEIGHTED_THRESHOLD,BILLSHOCK,PROXIMITY
100067692,11,26.9516,29.51,78.6933333333,No,0.342488986784
100085730,13,99.6,129.92,311.808,No,0.319427339901
100098133,15,28.34,58.55,124.906666667,No,0.22688941076
100099930,18,31.9757835,21.91,37.9773333333,No,0.841970214689
100108341,5,15.5167,49.5,171.6,No,0.0904236596737
100112187,23,56.75,80.98,86.3786666667,No,0.656990923685
100114101,9,32.6475327,53.31,156.376,No,0.208775852433
100137846,12,215.3460991,332.19,841.548,No,0.255892829761
100142434,20,28.3333,42.91,62.9346666667,No,0.450201796572
